latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-23.514938,-46.610504,745.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h)
2019-02-09,3,21.6,0.00,19.6
2019-02-10,51,22.8,0.20,18.6
2019-02-11,51,25.2,0.30,20.4
2019-02-12,61,24.1,3.70,18.6
2019-02-13,61,19.6,6.00,21.4
2019-02-14,51,19.1,0.50,19.6
2019-02-15,63,19.5,25.30,16.1
2019-02-16,65,19.5,62.50,16.4
2019-02-17,61,21.0,6.60,16.6
2019-02-18,53,21.8,1.80,17.6
2019-02-19,51,22.6,1.30,26.0
2019-02-20,63,22.5,11.30,13.6
2019-02-21,63,21.2,13.70,13.0
2019-02-22,63,22.0,6.60,10.3
2019-02-23,51,23.5,0.50,21.5
2019-02-24,51,24.8,0.30,21.1
2019-02-25,51,24.8,0.40,16.6
2019-02-26,61,21.8,9.30,17.4
2019-02-27,61,21.4,11.20,17.5
2019-02-28,61,20.5,19.90,14.8
2019-03-01,61,20.2,13.70,13.8
2019-03-02,63,21.2,6.90,17.6
2019-03-03,65,20.9,13.90,13.5
2019-03-04,65,20.9,17.00,13.7
2019-03-05,61,21.7,3.20,9.1
2019-03-06,61,22.6,3.40,12.0
2019-03-07,61,23.1,5.80,15.6
2019-03-08,3,23.4,0.00,15.8
2019-03-09,61,24.4,2.10,7.0
2019-03-10,63,21.9,10.30,24.0
2019-03-11,61,20.6,8.20,20.6
2019-03-12,61,21.5,4.90,12.5
2019-03-13,63,22.6,4.80,19.4
2019-03-14,61,23.0,3.80,17.9
2019-03-15,61,21.7,4.10,13.5
2019-03-16,61,21.9,5.30,18.9
2019-03-17,63,22.1,14.80,13.6
2019-03-18,55,23.0,2.60,19.1
2019-03-19,61,23.4,5.20,20.9
2019-03-20,61,20.9,4.70,18.3
2019-03-21,55,18.4,10.40,21.9
2019-03-22,51,18.0,0.90,21.2
2019-03-23,51,19.2,0.40,17.3
2019-03-24,51,20.1,0.60,14.8
2019-03-25,3,21.5,0.00,14.3
2019-03-26,51,21.0,0.30,20.1
2019-03-27,53,20.5,1.70,17.3
2019-03-28,63,19.7,14.00,20.0
2019-03-29,51,19.1,0.70,22.5
2019-03-30,51,18.8,0.20,19.2
2019-03-31,3,19.8,0.00,17.1
2019-04-01,51,20.0,0.20,20.8
2019-04-02,3,19.1,0.00,16.9
2019-04-03,3,20.7,0.00,9.8
2019-04-04,3,22.8,0.00,11.0
2019-04-05,51,24.2,0.30,21.9
2019-04-06,63,23.0,15.10,13.4
2019-04-07,61,22.5,13.40,13.7
2019-04-08,63,20.3,17.10,18.2
2019-04-09,55,18.8,10.30,28.3
2019-04-10,51,18.0,1.20,17.4
2019-04-11,51,19.7,0.40,15.3
2019-04-12,51,20.6,0.50,16.7
2019-04-13,51,20.9,0.10,17.4
2019-04-14,63,19.5,13.40,13.9
2019-04-15,51,19.8,0.90,19.6
2019-04-16,63,20.8,12.70,14.5
2019-04-17,51,20.5,0.50,22.3
2019-04-18,3,18.8,0.00,17.6
2019-04-19,3,18.4,0.00,8.9
2019-04-20,3,19.0,0.00,14.8
2019-04-21,51,21.4,0.10,8.7
2019-04-22,53,21.4,1.00,11.0
2019-04-23,53,21.0,2.80,17.8
2019-04-24,51,21.4,0.80,19.7
2019-04-25,53,21.7,1.20,15.5
2019-04-26,51,21.6,0.30,14.0
2019-04-27,3,22.6,0.00,16.8
2019-04-28,63,22.4,10.80,24.1
2019-04-29,61,18.2,4.00,14.0
2019-04-30,3,19.4,0.00,14.6
2019-05-01,3,19.8,0.00,10.5
2019-05-02,3,20.7,0.00,9.9
2019-05-03,3,21.8,0.00,7.1
2019-05-04,3,22.0,0.00,13.2
2019-05-05,51,20.8,0.20,10.6
2019-05-06,61,21.7,3.00,17.9
2019-05-07,53,20.1,3.50,20.7
2019-05-08,51,18.0,1.00,20.2
2019-05-09,51,18.0,0.20,19.8
2019-05-10,51,19.9,0.20,13.4
2019-05-11,53,21.0,1.00,13.7
2019-05-12,61,21.3,2.90,11.8
2019-05-13,51,20.7,0.10,18.7
2019-05-14,63,20.4,7.00,16.3
2019-05-15,51,17.6,0.90,25.9
2019-05-16,61,17.2,6.60,20.1
2019-05-17,61,16.9,9.60,23.8
2019-05-18,61,17.0,12.80,9.5
2019-05-19,61,17.3,3.50,12.8
2019-05-20,3,17.7,0.00,15.2
2019-05-21,3,17.8,0.00,18.1
2019-05-22,3,17.2,0.00,10.3
2019-05-23,3,18.8,0.00,10.7
2019-05-24,55,17.9,4.40,22.6
2019-05-25,3,14.1,0.00,23.8
2019-05-26,3,15.0,0.00,12.9
2019-05-27,3,16.9,0.00,10.2
2019-05-28,3,18.1,0.00,20.4
2019-05-29,51,18.7,1.90,15.6
2019-05-30,51,20.2,0.40,21.3
2019-05-31,51,21.5,0.30,25.6
2019-06-01,63,19.6,7.40,14.7
2019-06-02,61,18.2,3.60,14.1
2019-06-03,63,16.6,11.30,11.0
2019-06-04,53,14.3,1.30,22.1
2019-06-05,51,13.5,0.70,16.1
2019-06-06,3,14.4,0.00,15.6
2019-06-07,3,15.0,0.00,16.5
2019-06-08,3,14.6,0.00,15.2
2019-06-09,3,13.3,0.00,17.7
2019-06-10,1,14.3,0.00,13.1
2019-06-11,3,16.1,0.00,9.4
2019-06-12,3,17.4,0.00,13.5
2019-06-13,3,18.3,0.00,14.3
2019-06-14,3,19.5,0.00,10.5
2019-06-15,3,19.5,0.00,10.2
2019-06-16,3,18.9,0.00,11.8
2019-06-17,3,16.3,0.00,16.6
2019-06-18,3,16.4,0.00,10.0
2019-06-19,3,17.2,0.00,19.6
2019-06-20,53,16.4,0.70,14.3
2019-06-21,51,16.8,0.40,17.9
2019-06-22,3,17.0,0.00,12.5
2019-06-23,3,17.3,0.00,15.0
2019-06-24,0,17.3,0.00,16.8
2019-06-25,2,18.7,0.00,27.0
2019-06-26,51,19.9,0.20,22.3
2019-06-27,53,19.1,0.90,15.1
2019-06-28,51,19.3,0.10,18.7
2019-06-29,0,19.9,0.00,12.5
2019-06-30,0,19.7,0.00,21.7
2019-07-01,3,19.5,0.00,22.6
2019-07-02,3,19.1,0.00,21.9
2019-07-03,3,20.1,0.00,28.5
2019-07-04,63,16.6,51.90,17.3
2019-07-05,63,13.7,42.70,19.6
2019-07-06,51,9.8,0.20,13.6
2019-07-07,3,8.3,0.00,18.4
2019-07-08,3,10.3,0.00,17.2
2019-07-09,3,11.9,0.00,11.2
2019-07-10,3,13.4,0.00,8.9
2019-07-11,3,13.9,0.00,13.0
2019-07-12,3,14.1,0.00,11.3
2019-07-13,3,16.3,0.00,15.2
2019-07-14,3,17.2,0.00,14.3
2019-07-15,3,16.6,0.00,12.6
2019-07-16,63,13.8,8.50,24.9
2019-07-17,51,10.8,0.10,17.8
2019-07-18,3,12.2,0.00,19.1
2019-07-19,3,13.5,0.00,20.3
2019-07-20,3,14.4,0.00,10.9
2019-07-21,3,15.3,0.00,13.3
2019-07-22,3,17.6,0.00,15.0
2019-07-23,3,18.0,0.00,12.0
2019-07-24,0,17.4,0.00,9.1
2019-07-25,3,17.4,0.00,21.3
2019-07-26,3,18.3,0.00,17.0
2019-07-27,3,17.6,0.00,12.7
2019-07-28,51,16.9,0.30,20.3
2019-07-29,3,16.4,0.00,17.5
2019-07-30,61,17.1,1.60,19.1
2019-07-31,3,15.8,0.00,13.2
2019-08-01,3,18.0,0.00,21.7
2019-08-02,51,18.5,0.70,23.9
2019-08-03,51,11.8,2.30,19.5
2019-08-04,53,10.5,4.20,21.9
2019-08-05,51,12.4,0.40,21.7
2019-08-06,3,15.8,0.00,15.1
2019-08-07,3,18.0,0.00,12.7
2019-08-08,51,18.8,0.10,10.5
2019-08-09,2,19.8,0.00,9.7
2019-08-10,1,20.6,0.00,17.4
2019-08-11,3,18.1,0.00,16.3
2019-08-12,3,20.8,0.00,14.8
2019-08-13,51,17.6,0.20,22.7
2019-08-14,51,11.9,0.30,25.0
2019-08-15,3,13.1,0.00,22.6
2019-08-16,3,14.5,0.00,12.3
2019-08-17,3,17.2,0.00,16.6
2019-08-18,3,20.4,0.00,18.9
2019-08-19,55,16.0,3.50,22.0
2019-08-20,53,14.4,3.20,20.0
2019-08-21,51,15.0,0.50,18.0
2019-08-22,51,14.2,1.10,19.9
2019-08-23,53,14.8,1.20,20.5
2019-08-24,51,13.7,0.70,21.3
2019-08-25,3,14.0,0.00,20.6
2019-08-26,3,15.6,0.00,20.8
2019-08-27,3,16.1,0.00,20.4
2019-08-28,51,16.3,0.10,21.5
2019-08-29,3,16.9,0.00,13.6
2019-08-30,3,19.3,0.00,11.4
2019-08-31,2,21.8,0.00,19.6
2019-09-01,63,17.8,10.40,18.8
2019-09-02,61,16.9,11.40,20.5
2019-09-03,61,17.1,3.40,19.7
2019-09-04,51,16.9,0.10,19.8
2019-09-05,51,13.7,0.50,22.3
2019-09-06,63,14.7,8.90,25.5
2019-09-07,51,19.3,0.60,17.9
2019-09-08,3,22.4,0.00,11.2
2019-09-09,3,22.8,0.00,15.1
2019-09-10,3,23.6,0.00,12.1
2019-09-11,3,23.6,0.00,11.3
2019-09-12,3,24.7,0.00,15.6
2019-09-13,51,18.1,0.30,20.4
2019-09-14,3,18.8,0.00,23.0
2019-09-15,3,21.8,0.00,20.3
2019-09-16,3,24.4,0.00,12.4
2019-09-17,3,25.0,0.00,13.3
2019-09-18,2,25.6,0.00,21.1
2019-09-19,51,21.6,0.40,25.1
2019-09-20,51,21.7,0.10,19.6
2019-09-21,55,17.2,1.70,18.4
2019-09-22,51,16.2,2.10,25.1
2019-09-23,51,13.3,1.20,25.1
2019-09-24,61,15.0,2.30,21.1
2019-09-25,61,16.0,4.90,17.3
2019-09-26,51,16.4,1.30,14.1
2019-09-27,51,16.5,0.60,23.1
2019-09-28,51,14.8,0.70,19.2
2019-09-29,3,16.4,0.00,18.4
2019-09-30,3,17.9,0.00,21.7
2019-10-01,3,19.9,0.00,22.2
2019-10-02,3,22.9,0.00,15.8
2019-10-03,3,19.6,0.00,22.9
2019-10-04,3,19.8,0.00,20.0
2019-10-05,3,22.8,0.00,17.9
2019-10-06,3,19.4,0.00,24.5
2019-10-07,55,18.3,5.90,18.9
2019-10-08,61,17.4,11.90,15.1
2019-10-09,63,17.4,15.90,21.4
2019-10-10,3,18.8,0.00,23.6
2019-10-11,3,20.7,0.00,19.3
2019-10-12,51,23.3,0.10,14.0
2019-10-13,2,24.8,0.00,13.7
2019-10-14,3,23.0,0.00,22.1
2019-10-15,51,19.9,0.70,21.5
2019-10-16,51,20.1,0.10,24.8
2019-10-17,3,21.5,0.00,21.1
2019-10-18,51,23.2,0.10,10.9
2019-10-19,53,21.6,1.10,25.1
2019-10-20,51,16.7,0.20,20.3
2019-10-21,53,16.1,1.70,18.2
2019-10-22,51,18.5,0.60,17.9
2019-10-23,3,18.8,0.00,22.5
2019-10-24,51,20.3,0.90,21.3
2019-10-25,53,20.5,1.00,19.8
2019-10-26,51,20.6,0.50,20.7
2019-10-27,51,23.9,0.20,20.9
2019-10-28,63,24.5,5.60,21.9
2019-10-29,55,24.9,1.40,14.8
2019-10-30,61,25.1,1.70,19.0
2019-10-31,3,23.3,0.00,18.9
2019-11-01,51,21.8,0.10,23.8
2019-11-02,51,23.2,0.20,24.0
2019-11-03,3,25.8,0.00,18.4
2019-11-04,51,26.4,0.20,19.2
2019-11-05,61,25.5,3.30,25.4
2019-11-06,61,19.0,5.40,21.7
2019-11-07,63,19.5,8.10,16.9
2019-11-08,53,19.6,4.80,14.0
2019-11-09,53,20.5,5.80,15.4
2019-11-10,53,20.9,3.70,15.9
2019-11-11,51,19.6,1.30,22.0
2019-11-12,51,18.9,0.50,23.6
2019-11-13,61,19.9,3.50,23.6
2019-11-14,63,21.2,19.80,23.8
2019-11-15,63,19.5,21.70,20.2
2019-11-16,51,16.7,0.10,17.6
2019-11-17,3,16.8,0.00,24.9
2019-11-18,51,17.9,0.20,21.4
2019-11-19,51,19.4,0.60,19.5
2019-11-20,51,20.2,0.40,21.1
2019-11-21,51,21.4,0.10,18.6
2019-11-22,51,22.9,0.30,13.1
2019-11-23,63,22.3,10.30,23.3
2019-11-24,53,16.3,1.40,21.7
2019-11-25,3,16.0,0.00,18.6
2019-11-26,51,18.9,0.40,20.7
2019-11-27,53,22.3,1.20,21.4
2019-11-28,63,19.0,16.80,20.7
2019-11-29,51,17.2,0.10,22.6
2019-11-30,51,20.4,0.60,18.8
2019-12-01,55,22.3,1.50,16.6
2019-12-02,51,18.0,0.50,19.3
2019-12-03,3,16.8,0.00,21.1
2019-12-04,63,20.4,3.80,18.1
2019-12-05,63,22.9,5.60,23.6
2019-12-06,53,19.6,2.50,18.6
2019-12-07,51,18.6,0.10,22.3
2019-12-08,3,18.2,0.00,19.3
2019-12-09,63,19.6,10.00,18.4
2019-12-10,63,20.4,12.30,13.7
2019-12-11,53,20.3,3.40,9.0
2019-12-12,63,21.6,11.30,14.5
2019-12-13,51,22.1,1.60,21.8
2019-12-14,63,21.6,4.60,19.0
2019-12-15,61,22.9,3.20,15.1
2019-12-16,51,24.7,0.80,17.6
2019-12-17,63,23.1,6.40,18.1
2019-12-18,55,19.6,8.80,20.2
2019-12-19,53,19.9,2.60,21.0
2019-12-20,61,21.3,3.50,16.3
2019-12-21,53,23.0,2.00,23.8
2019-12-22,53,22.5,3.60,25.4
2019-12-23,63,21.6,7.60,20.3
2019-12-24,51,20.5,0.60,20.1
2019-12-25,3,21.5,0.00,22.1
2019-12-26,51,21.1,0.10,23.8
2019-12-27,51,20.9,0.50,22.2
2019-12-28,51,22.2,0.50,19.7
2019-12-29,3,22.2,0.00,23.6
2019-12-30,51,22.0,0.10,18.0
2019-12-31,51,22.9,0.10,16.6
2020-01-01,55,24.7,1.20,17.4
2020-01-02,65,21.9,36.90,13.0
2020-01-03,61,20.9,12.60,22.7
2020-01-04,63,19.9,8.40,18.6
2020-01-05,63,19.8,8.70,12.0
2020-01-06,51,22.4,0.90,18.4
2020-01-07,53,24.2,1.40,18.6
2020-01-08,63,23.2,22.60,15.8
2020-01-09,63,23.2,14.80,16.3
2020-01-10,63,23.9,11.30,12.0
2020-01-11,65,25.2,20.00,16.4
2020-01-12,65,22.9,22.30,16.1
2020-01-13,53,21.0,2.00,19.9
2020-01-14,51,20.7,1.20,18.8
2020-01-15,51,22.6,1.30,17.3
2020-01-16,63,24.8,5.50,16.2
2020-01-17,65,19.8,48.30,21.4
2020-01-18,51,19.2,0.80,20.1
2020-01-19,53,20.0,1.30,20.1
2020-01-20,51,20.1,1.00,21.7
2020-01-21,3,19.4,0.00,22.4
2020-01-22,51,19.4,1.90,22.3
2020-01-23,63,18.8,24.30,16.1
2020-01-24,61,18.3,7.00,22.7
2020-01-25,51,19.3,0.70,19.5
2020-01-26,3,20.2,0.00,17.1
2020-01-27,0,21.9,0.00,19.2
2020-01-28,51,22.6,0.50,19.1
2020-01-29,63,23.2,7.50,18.5
2020-01-30,63,23.8,7.30,23.1
2020-01-31,51,23.8,0.20,23.6
2020-02-01,65,22.8,25.60,16.2
2020-02-02,63,21.5,16.20,15.3
2020-02-03,63,20.4,21.30,18.4
2020-02-04,53,20.8,3.30,16.9
2020-02-05,65,21.5,17.90,14.3
2020-02-06,65,21.3,19.80,15.0
2020-02-07,53,22.1,1.60,13.8
2020-02-08,51,23.0,0.50,12.1
2020-02-09,61,23.2,2.20,25.9
2020-02-10,65,20.3,49.90,22.7
2020-02-11,55,18.1,5.30,24.3
2020-02-12,51,17.9,1.20,19.4
2020-02-13,51,19.3,1.90,20.4
2020-02-14,51,20.5,0.20,19.9
2020-02-15,51,21.7,0.30,16.6
2020-02-16,61,22.8,5.70,14.8
2020-02-17,61,23.5,2.20,15.4
2020-02-18,51,24.5,0.60,14.3
2020-02-19,53,24.6,1.90,15.6
2020-02-20,55,23.7,2.40,14.0
2020-02-21,61,21.7,7.00,18.1
2020-02-22,53,18.5,2.50,19.6
2020-02-23,51,17.7,0.50,18.9
2020-02-24,63,19.6,5.60,13.4
2020-02-25,63,21.7,8.10,16.9
2020-02-26,61,21.7,9.20,31.3
2020-02-27,63,18.3,9.00,21.2
2020-02-28,55,17.7,3.10,21.3
2020-02-29,63,19.1,12.70,17.7
2020-03-01,51,19.1,1.80,23.3
2020-03-02,63,19.3,15.40,21.5
2020-03-03,63,18.4,15.70,23.7
2020-03-04,55,18.6,2.40,17.8
2020-03-05,51,18.6,0.60,20.2
2020-03-06,51,17.6,0.80,19.9
2020-03-07,53,18.2,1.30,20.3
2020-03-08,55,18.6,1.70,14.8
2020-03-09,53,19.9,1.60,16.2
2020-03-10,51,20.4,0.40,18.7
2020-03-11,51,20.4,0.60,18.2
2020-03-12,3,20.4,0.00,18.1
2020-03-13,3,20.6,0.00,21.7
2020-03-14,3,21.6,0.00,15.9
2020-03-15,51,23.2,0.40,14.7
2020-03-16,63,23.6,9.70,11.6
2020-03-17,63,22.5,9.30,17.2
2020-03-18,51,22.5,0.10,14.5
2020-03-19,51,22.7,0.70,14.2
2020-03-20,63,22.2,7.10,20.0
2020-03-21,53,19.6,2.20,19.9
2020-03-22,3,18.5,0.00,22.9
2020-03-23,2,18.3,0.00,22.0
2020-03-24,51,17.9,0.30,20.1
2020-03-25,51,17.4,0.20,18.4
2020-03-26,1,17.6,0.00,21.0
2020-03-27,3,18.7,0.00,22.1
2020-03-28,51,20.0,0.40,18.3
2020-03-29,63,20.4,10.40,10.8
2020-03-30,53,20.5,2.20,19.2
2020-03-31,51,20.2,1.10,17.7
2020-04-01,3,20.5,0.00,17.1
2020-04-02,51,22.6,0.40,23.0
2020-04-03,63,21.7,6.00,27.4
2020-04-04,3,17.5,0.00,16.2
2020-04-05,3,18.9,0.00,17.5
2020-04-06,3,21.3,0.00,13.9
2020-04-07,51,20.1,2.10,20.9
2020-04-08,51,17.9,0.70,18.9
2020-04-09,3,16.5,0.00,16.3
2020-04-10,3,15.8,0.00,20.1
2020-04-11,3,16.4,0.00,20.0
2020-04-12,3,17.2,0.00,20.0
2020-04-13,3,17.3,0.00,18.9
2020-04-14,51,18.9,1.00,24.9
2020-04-15,51,20.2,0.10,22.5
2020-04-16,3,19.3,0.00,20.6
2020-04-17,3,16.9,0.00,19.9
2020-04-18,3,17.0,0.00,20.4
2020-04-19,51,18.0,0.20,20.3
2020-04-20,3,18.0,0.00,20.9
2020-04-21,3,17.7,0.00,21.3
2020-04-22,3,17.6,0.00,22.2
2020-04-23,3,17.8,0.00,20.9
2020-04-24,51,19.6,0.10,18.4
2020-04-25,3,20.1,0.00,19.2
2020-04-26,0,19.4,0.00,17.6
2020-04-27,3,18.0,0.00,22.5
2020-04-28,3,18.8,0.00,16.1
2020-04-29,3,19.6,0.00,13.3
2020-04-30,3,20.2,0.00,16.0
2020-05-01,53,19.5,0.90,14.4
2020-05-02,53,19.5,2.10,19.1
2020-05-03,53,16.2,1.10,17.1
2020-05-04,3,15.6,0.00,16.1
2020-05-05,3,18.0,0.00,25.2
2020-05-06,61,19.8,5.90,24.6
2020-05-07,63,14.3,11.30,21.6
2020-05-08,51,14.0,0.30,17.8
2020-05-09,3,15.2,0.00,17.3
2020-05-10,3,15.9,0.00,14.2
2020-05-11,0,16.3,0.00,15.8
2020-05-12,3,16.9,0.00,16.6
2020-05-13,3,17.6,0.00,25.0
2020-05-14,61,17.6,6.00,19.5
2020-05-15,53,15.4,1.50,17.1
2020-05-16,3,16.0,0.00,16.3
2020-05-17,3,14.8,0.00,10.9
2020-05-18,3,14.7,0.00,16.6
2020-05-19,3,16.8,0.00,18.3
2020-05-20,3,17.8,0.00,17.4
2020-05-21,3,18.5,0.00,12.9
2020-05-22,3,19.6,0.00,22.6
2020-05-23,53,19.8,2.00,36.0
2020-05-24,51,14.0,0.10,24.2
2020-05-25,3,13.1,0.00,28.3
2020-05-26,0,13.4,0.00,25.6
2020-05-27,0,12.8,0.00,16.4
2020-05-28,3,12.0,0.00,13.7
2020-05-29,3,14.6,0.00,10.0
2020-05-30,3,15.7,0.00,15.9
2020-05-31,3,16.1,0.00,17.1
2020-06-01,1,17.2,0.00,15.3
2020-06-02,55,15.8,3.40,14.4
2020-06-03,63,16.3,7.80,14.9
2020-06-04,51,17.4,0.80,15.5
2020-06-05,55,18.4,5.40,13.0
2020-06-06,51,19.8,0.30,19.3
2020-06-07,55,19.3,2.70,19.3
2020-06-08,51,18.3,0.50,17.0
2020-06-09,51,19.9,0.60,15.0
2020-06-10,51,20.9,0.60,20.9
2020-06-11,3,21.6,0.00,23.2
2020-06-12,3,20.1,0.00,15.2
2020-06-13,3,19.9,0.00,16.4
2020-06-14,53,16.2,1.50,21.4
2020-06-15,3,16.4,0.00,19.9
2020-06-16,3,16.8,0.00,20.4
2020-06-17,3,17.3,0.00,18.9
2020-06-18,3,17.1,0.00,18.6
2020-06-19,3,18.4,0.00,18.2
2020-06-20,1,18.8,0.00,18.2
2020-06-21,2,19.6,0.00,17.9
2020-06-22,2,19.4,0.00,10.8
2020-06-23,3,18.3,0.00,11.9
2020-06-24,3,18.0,0.00,20.6
2020-06-25,3,19.4,0.00,27.9
2020-06-26,61,18.0,6.90,19.1
2020-06-27,63,14.6,30.70,25.9
2020-06-28,51,13.8,0.90,18.6
2020-06-29,51,15.3,0.10,20.3
2020-06-30,3,17.1,0.00,25.6
2020-07-01,51,17.5,0.10,35.0
2020-07-02,2,11.6,0.00,10.3
2020-07-03,3,12.3,0.00,14.4
2020-07-04,3,14.4,0.00,14.7
2020-07-05,2,16.7,0.00,16.6
2020-07-06,3,18.7,0.00,14.8
2020-07-07,3,19.1,0.00,17.6
2020-07-08,3,19.7,0.00,30.5
2020-07-09,51,17.7,0.30,19.1
2020-07-10,3,15.0,0.00,14.1
2020-07-11,3,18.4,0.00,20.7
2020-07-12,3,19.8,0.00,23.5
2020-07-13,2,20.2,0.00,20.3
2020-07-14,55,17.0,2.10,16.4
2020-07-15,3,13.9,0.00,16.3
2020-07-16,3,15.4,0.00,20.5
2020-07-17,3,16.6,0.00,12.5
2020-07-18,3,17.9,0.00,13.4
2020-07-19,2,17.5,0.00,11.4
2020-07-20,0,17.4,0.00,18.8
2020-07-21,2,17.6,0.00,16.9
2020-07-22,3,18.3,0.00,13.5
2020-07-23,3,18.4,0.00,13.2
2020-07-24,0,18.5,0.00,16.5
2020-07-25,2,19.7,0.00,27.4
2020-07-26,51,16.5,0.50,17.3
2020-07-27,3,19.5,0.00,21.5
2020-07-28,3,20.8,0.00,25.7
2020-07-29,51,16.3,0.60,21.7
2020-07-30,55,13.7,4.00,21.1
2020-07-31,3,15.2,0.00,25.1
2020-08-01,3,15.5,0.00,18.7
2020-08-02,3,15.6,0.00,21.6
2020-08-03,3,15.7,0.00,16.9
2020-08-04,3,14.9,0.00,17.3
2020-08-05,3,15.1,0.00,17.1
2020-08-06,3,15.4,0.00,19.7
2020-08-07,0,15.7,0.00,19.6
2020-08-08,51,16.5,0.10,21.2
2020-08-09,3,17.3,0.00,17.9
2020-08-10,2,18.9,0.00,14.3
2020-08-11,3,20.1,0.00,18.0
2020-08-12,2,19.1,0.00,14.6
2020-08-13,3,21.3,0.00,22.2
2020-08-14,2,22.0,0.00,14.3
2020-08-15,51,20.8,0.40,23.5
2020-08-16,55,17.2,5.70,17.1
2020-08-17,61,17.5,7.10,19.9
2020-08-18,63,16.9,26.40,16.4
2020-08-19,63,18.1,8.40,19.5
2020-08-20,61,14.8,5.70,20.3
2020-08-21,63,10.7,21.40,25.3
2020-08-22,53,10.1,2.40,20.0
2020-08-23,51,11.6,0.10,21.1
2020-08-24,3,12.5,0.00,20.2
2020-08-25,3,12.0,0.00,18.6
2020-08-26,0,12.3,0.00,15.6
2020-08-27,3,15.5,0.00,13.8
2020-08-28,3,18.4,0.00,11.9
2020-08-29,3,20.4,0.00,13.0
2020-08-30,0,20.7,0.00,15.3
2020-08-31,51,18.0,0.10,20.6
2020-09-01,51,18.2,0.80,20.5
2020-09-02,3,18.6,0.00,21.5
2020-09-03,3,20.9,0.00,17.5
2020-09-04,3,20.7,0.00,24.2
2020-09-05,3,20.2,0.00,17.2
2020-09-06,3,22.0,0.00,15.8
2020-09-07,3,20.0,0.00,16.8
2020-09-08,3,19.2,0.00,19.6
2020-09-09,3,19.9,0.00,18.8
2020-09-10,3,23.4,0.00,20.0
2020-09-11,3,23.1,0.00,13.5
2020-09-12,3,25.9,0.00,14.8
2020-09-13,2,25.1,0.00,15.5
2020-09-14,3,23.8,0.00,23.4
2020-09-15,51,17.4,1.00,23.6
2020-09-16,3,20.3,0.00,17.9
2020-09-17,3,22.2,0.00,20.0
2020-09-18,3,21.2,0.00,17.7
2020-09-19,51,23.8,0.10,19.3
2020-09-20,51,18.0,1.60,17.2
2020-09-21,61,15.9,6.80,22.0
2020-09-22,63,14.1,20.30,23.4
2020-09-23,53,15.9,3.50,21.5
2020-09-24,3,17.4,0.00,19.0
2020-09-25,3,18.0,0.00,16.0
2020-09-26,3,21.4,0.00,18.3
2020-09-27,3,24.4,0.00,19.5
2020-09-28,3,23.1,0.00,30.3
2020-09-29,3,20.5,0.00,19.1
2020-09-30,3,24.8,0.00,15.5
2020-10-01,2,26.3,0.00,18.1
2020-10-02,51,28.3,0.10,33.9
2020-10-03,3,24.1,0.00,24.1
2020-10-04,63,20.0,8.00,24.3
2020-10-05,3,22.8,0.00,18.9
2020-10-06,2,25.3,0.00,20.3
2020-10-07,51,26.2,0.10,26.5
2020-10-08,53,24.3,0.50,18.5
2020-10-09,63,19.6,16.20,16.2
2020-10-10,61,18.0,2.10,21.7
2020-10-11,1,16.0,0.00,23.8
2020-10-12,2,17.2,0.00,17.9
2020-10-13,3,21.5,0.00,19.0
2020-10-14,53,23.0,0.80,16.6
2020-10-15,55,18.3,7.20,18.8
2020-10-16,55,15.8,2.80,21.5
2020-10-17,51,15.6,0.20,21.4
2020-10-18,3,17.8,0.00,21.0
2020-10-19,61,20.1,4.00,12.9
2020-10-20,63,20.6,9.90,13.3
2020-10-21,51,19.7,1.30,21.9
2020-10-22,3,18.8,0.00,23.8
2020-10-23,51,19.5,0.40,23.6
2020-10-24,51,20.1,0.90,12.0
2020-10-25,63,19.9,11.30,18.1
2020-10-26,3,19.4,0.00,18.9
2020-10-27,51,21.9,0.30,22.8
2020-10-28,0,23.9,0.00,19.1
2020-10-29,53,22.0,0.60,27.1
2020-10-30,65,17.2,38.30,21.7
2020-10-31,51,15.8,2.20,25.3
2020-11-01,51,14.4,1.40,22.1
2020-11-02,51,14.1,0.30,21.1
2020-11-03,51,14.1,0.60,21.0
2020-11-04,53,14.7,1.70,22.2
2020-11-05,61,15.8,3.40,19.8
2020-11-06,3,15.9,0.00,22.3
2020-11-07,3,16.7,0.00,19.6
2020-11-08,3,18.7,0.00,18.1
2020-11-09,3,20.0,0.00,21.9
2020-11-10,61,21.4,9.90,16.6
2020-11-11,63,21.0,11.00,21.0
2020-11-12,61,20.5,3.80,14.9
2020-11-13,63,20.5,3.40,12.7
2020-11-14,53,21.7,1.80,14.0
2020-11-15,55,23.4,1.70,13.4
2020-11-16,53,23.5,1.00,17.6
2020-11-17,61,20.9,11.70,20.3
2020-11-18,63,18.0,15.80,21.6
2020-11-19,65,16.8,28.70,25.3
2020-11-20,51,16.0,0.90,18.2
2020-11-21,51,16.6,0.50,21.9
2020-11-22,51,17.5,0.20,22.2
2020-11-23,3,18.4,0.00,20.4
2020-11-24,51,19.7,0.20,20.8
2020-11-25,3,21.7,0.00,20.6
2020-11-26,1,24.0,0.00,11.6
2020-11-27,55,22.4,2.50,18.2
2020-11-28,3,22.5,0.00,23.0
2020-11-29,61,23.7,1.40,16.2
2020-11-30,63,24.2,10.00,25.4
