,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFÉ ARÁBICA - BRASIL,,,,,,,,,,,,,,,,,,,,,,,,,,
SÉRIE HISTÓRICA DE ÁREA EM PRODUÇÃO,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFRAS 2008 A 2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Em hectares,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIDADE FEDERAÇÃO/REGIÃO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026 (¹)
RJ,,,,,,,," 12,883.9 "," 13,227.0 "," 12,445.0 "," 12,221.0 "," 13,225.0 "," 13,276.0 "," 12,783.0 "," 12,538.0 "," 13,022.0 "," 13,053.0 "," 12,030.0 "," 11,713.0 "," 11,969.0 "," 10,072.5 "," 10,474.4 "," 11,197.0 "," 11,503.0 "," 12,379.0 "," 12,379.0 "
SP,,,,,,,," 188,495.0 "," 182,020.0 "," 166,195.0 "," 169,538.0 "," 175,137.0 "," 162,328.5 "," 199,686.0 "," 198,971.3 "," 201,235.0 "," 200,629.0 "," 202,581.0 "," 201,369.0 "," 201,523.0 "," 198,181.0 "," 199,790.0 "," 181,548.0 "," 186,141.0 "," 196,025.0 "," 196,025.0 "
SUL,,,,,,,," 96,920.0 "," 85,180.0 "," 82,613.0 "," 74,752.0 "," 67,177.0 "," 65,150.0 "," 33,251.0 "," 44,500.0 "," 46,160.0 "," 43,260.0 "," 37,500.0 "," 36,900.0 "," 35,683.0 "," 33,070.0 "," 27,109.0 "," 25,826.0 "," 25,281.0 "," 25,404.0 "," 26,155.0 "
PR,,,,,,,," 96,920.0 "," 85,180.0 "," 82,613.0 "," 74,752.0 "," 67,177.0 "," 65,150.0 "," 33,251.0 "," 44,500.0 "," 46,160.0 "," 43,260.0 "," 37,500.0 "," 36,900.0 "," 35,683.0 "," 33,070.0 "," 27,109.0 "," 25,826.0 "," 25,281.0 "," 25,404.0 "," 26,155.0 "
OUTROS,,,,,,,," 9,797.6 "," 9,460.0 "," 9,791.0 "," 22,834.0 "," 13,831.0 "," 13,305.0 "," 10,862.0 "," 8,450.0 "," 9,206.0 "," 6,293.0 "," 4,511.0 "," 6,187.0 "," 2,454.0 "," 3,187.0 "," 3,058.0 "," 2,837.0 "," 2,792.0 "," 2,811.0 "," 2,850.0 "
NORTE/NORDESTE,,,,,,,," 103,340.4 "," 103,461.0 "," 115,617.0 "," 113,894.5 "," 113,779.0 "," 110,332.2 "," 111,339.0 "," 103,450.0 "," 103,861.0 "," 94,871.0 "," 82,300.0 "," 60,335.0 "," 66,935.0 "," 60,310.0 "," 54,600.0 "," 54,980.0 "," 57,045.0 "," 56,245.0 "," 55,350.0 "
CENTRO-SUL,,,,,,,," 1,541,514.9 "," 1,449,675.0 "," 1,435,863.0 "," 1,416,215.0 "," 1,445,151.0 "," 1,442,076.1 "," 1,383,719.8 "," 1,367,910.3 "," 1,412,887.6 "," 1,380,377.0 "," 1,410,248.0 "," 1,383,280.0 "," 1,443,884.4 "," 1,369,674.5 "," 1,394,919.4 "," 1,428,149.0 "," 1,448,907.0 "," 1,427,781.0 "," 1,490,171.0 "
BRASIL,,,,,,,," 1,654,652.9 "," 1,562,596.0 "," 1,561,271.0 "," 1,552,943.5 "," 1,572,761.0 "," 1,565,713.3 "," 1,505,920.8 "," 1,479,810.3 "," 1,525,954.6 "," 1,481,541.0 "," 1,497,059.0 "," 1,449,802.0 "," 1,513,273.4 "," 1,433,171.5 "," 1,452,577.4 "," 1,485,966.0 "," 1,508,744.0 "," 1,486,837.0 "," 1,548,371.0 "
Legenda: (¹) - Estimativa em Fevereiro/2026.,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonte: Conab.,,,,,,,,,,,,,,,,,,,,,,,,,,
