"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","357.25","369.50","372.20","356.30","0.77K","-3.49%"
"07/31/2025","370.15","367.70","376.50","367.70","0.30K","0.64%"
"07/30/2025","367.80","370.20","377.00","364.00","0.40K","-0.41%"
"07/29/2025","369.30","369.30","371.25","360.60","0.41K","-0.94%"
"07/28/2025","372.80","370.00","377.10","367.40","0.33K","1.68%"
"07/25/2025","366.65","374.50","375.65","366.30","0.45K","-1.66%"
"07/24/2025","372.85","367.10","375.50","367.05","0.44K","-1.47%"
"07/23/2025","378.40","378.40","378.40","378.40","","1.94%"
"07/22/2025","371.20","371.20","371.20","371.20","","0.62%"
"07/21/2025","368.90","430.00","430.00","430.00","0.00K","-4.01%"
"07/19/2025","384.30","384.30","384.30","384.30","","0.00%"
"07/18/2025","384.30","384.30","384.30","384.30","","-1.22%"
"07/17/2025","389.05","389.05","389.05","389.05","","-0.69%"
"07/16/2025","391.75","391.75","391.75","391.75","","4.58%"
"07/15/2025","374.60","374.60","374.60","374.60","","-1.42%"
"07/14/2025","380.00","380.00","380.00","380.00","","6.32%"
"07/12/2025","357.40","357.40","357.40","357.40","","0.00%"
"07/11/2025","357.40","357.40","357.40","357.40","","-0.47%"
"07/10/2025","359.10","359.10","359.10","359.10","","1.51%"
"07/09/2025","353.75","353.75","353.75","353.75","","-0.58%"
"07/08/2025","355.80","355.80","355.80","355.80","","2.80%"
"07/07/2025","346.10","346.10","346.10","346.10","","-4.59%"
"07/04/2025","362.75","362.75","362.75","362.75","","0.00%"
"07/03/2025","362.75","362.75","362.75","362.75","","-1.89%"
"07/02/2025","369.75","369.75","369.75","369.75","","-0.32%"
"07/01/2025","370.95","378.00","378.00","378.00","0.02K","-2.74%"
"06/30/2025","381.40","381.40","381.40","381.40","","-1.08%"
"06/27/2025","385.55","385.55","385.55","385.55","0.00K","0.14%"
"06/26/2025","385.00","385.00","385.00","385.00","","0.29%"
"06/25/2025","383.90","383.90","383.90","383.90","","-2.25%"
"06/24/2025","392.75","392.75","392.75","392.75","","-4.80%"
"06/23/2025","412.55","412.55","412.55","412.55","","3.75%"
"06/21/2025","397.65","397.65","397.65","397.65","","0.00%"
"06/20/2025","397.65","397.65","397.65","397.65","","-1.91%"
"06/18/2025","405.40","405.40","405.40","405.40","","-3.45%"
"06/17/2025","419.90","419.90","419.90","419.90","","-2.48%"
"06/16/2025","430.60","430.60","430.60","430.60","","-1.73%"
"06/14/2025","438.20","438.20","438.20","438.20","","0.00%"
"06/13/2025","438.20","438.20","438.20","438.20","","0.57%"
"06/12/2025","435.70","439.00","439.00","439.00","0.00K","-0.85%"
"06/11/2025","439.45","439.45","439.45","439.45","","-1.30%"
"06/10/2025","445.25","445.25","445.25","445.25","","-1.89%"
"06/09/2025","453.85","453.65","453.65","453.65","0.00K","1.04%"
"06/07/2025","449.20","449.20","449.20","449.20","","0.00%"
"06/06/2025","449.20","449.20","449.20","449.20","","-0.50%"
"06/05/2025","451.45","451.45","451.45","451.45","","4.15%"
"06/04/2025","433.45","433.45","433.45","433.45","","1.64%"
"06/03/2025","426.45","426.45","426.45","426.45","","-1.10%"
"06/02/2025","431.20","431.20","431.20","431.20","","0.62%"
"05/31/2025","428.55","428.55","428.55","428.55","","0.00%"
"05/30/2025","428.55","428.55","428.55","428.55","","-1.80%"
"05/29/2025","436.40","449.65","449.65","449.65","0.01K","-1.07%"
"05/28/2025","441.10","451.50","451.50","451.00","0.03K","-2.84%"
"05/27/2025","454.00","454.00","454.00","454.00","","0.21%"
"05/26/2025","453.05","453.05","453.05","453.05","","0.00%"
"05/24/2025","453.05","459.00","453.05","453.05","0.00K","0.00%"
"05/23/2025","453.05","459.00","459.00","459.00","0.00K","-0.92%"
"05/22/2025","457.25","457.25","457.25","457.25","","-2.71%"
"05/21/2025","470.00","470.00","470.00","470.00","","0.29%"
"05/20/2025","468.65","468.65","468.65","468.65","","-1.51%"
"05/19/2025","475.85","479.90","479.90","479.90","0.01K","-0.03%"
"05/16/2025","476.00","476.00","478.60","476.00","0.10K","-1.76%"
"05/15/2025","484.55","475.75","475.80","475.75","0.00K","3.10%"
"05/14/2025","470.00","470.00","470.00","470.00","","-2.05%"
"05/13/2025","479.85","475.00","475.00","475.00","0.14K","0.66%"
"05/12/2025","476.70","476.70","476.70","476.70","","-3.92%"
"05/09/2025","496.15","498.70","498.90","495.00","0.01K","-0.17%"
"05/08/2025","497.00","491.35","495.50","491.35","0.02K","0.42%"
"05/07/2025","494.90","500.00","500.00","491.45","0.18K","-1.30%"
"05/06/2025","501.40","491.25","491.25","490.90","0.02K","0.57%"
"05/05/2025","498.55","498.55","498.55","498.55","","0.95%"
"05/02/2025","493.85","500.00","500.00","500.00","0.18K","-4.64%"
"04/30/2025","517.90","521.90","521.90","515.00","0.05K","0.24%"
"04/29/2025","516.65","528.45","530.10","517.00","0.07K","-2.63%"
"04/28/2025","530.60","518.10","529.00","504.90","0.18K","2.37%"
"04/25/2025","518.30","520.00","525.25","516.00","0.13K","1.11%"
"04/24/2025","512.60","503.00","518.15","502.35","0.07K","2.85%"
"04/23/2025","498.40","484.50","504.35","484.50","0.12K","3.02%"
"04/22/2025","483.80","475.50","486.30","470.00","0.11K","0.53%"
"04/17/2025","481.25","478.00","481.40","475.50","0.08K","0.14%"
"04/16/2025","480.60","476.35","481.40","475.00","0.05K","0.18%"
"04/15/2025","479.75","476.10","486.95","476.10","0.05K","0.67%"
"04/14/2025","476.55","475.40","479.90","473.70","0.13K","0.87%"
"04/11/2025","472.45","462.45","474.00","462.15","0.12K","1.73%"
"04/10/2025","464.40","478.00","482.70","460.20","0.34K","-2.08%"
"04/09/2025","474.25","474.60","483.00","458.00","0.28K","-0.34%"
"04/08/2025","475.85","483.95","483.95","471.05","0.28K","-2.32%"
"04/07/2025","487.15","481.70","492.00","475.05","0.46K","-0.58%"
"04/04/2025","490.00","505.00","508.00","487.20","0.48K","-2.85%"
"04/03/2025","504.35","503.00","507.75","497.00","0.12K","0.16%"
"04/02/2025","503.55","494.45","506.00","492.00","0.25K","1.84%"
"04/01/2025","494.45","482.50","498.25","482.50","0.30K","2.20%"
"03/31/2025","483.80","485.40","490.00","483.00","0.17K","-0.37%"
"03/28/2025","485.60","482.90","490.00","482.90","0.15K","0.52%"
"03/27/2025","483.10","496.50","496.50","478.40","0.23K","-2.74%"
"03/26/2025","496.70","500.00","502.55","492.10","0.16K","-1.38%"
"03/25/2025","503.65","496.65","505.10","496.65","0.25K","1.47%"
"03/24/2025","496.35","491.15","502.75","490.30","0.22K","2.00%"
"03/21/2025","486.60","486.60","486.60","486.60","","-0.53%"
"03/20/2025","489.20","484.00","484.00","484.00","0.04K","1.53%"
"03/19/2025","481.85","481.85","481.85","481.85","","2.09%"
"03/18/2025","472.00","472.00","472.00","472.00","","-0.61%"
"03/17/2025","474.90","476.00","476.00","476.00","0.17K","2.06%"
"03/14/2025","465.30","465.30","465.30","465.30","","-2.36%"
"03/13/2025","476.55","476.55","476.55","476.55","","-0.44%"
"03/12/2025","478.65","478.65","478.65","478.65","","-1.97%"
"03/11/2025","488.25","475.00","475.00","475.00","0.17K","2.81%"
"03/10/2025","474.90","475.00","475.00","475.00","0.00K","-0.23%"
"03/07/2025","476.00","476.00","476.00","476.00","","-0.77%"
"03/06/2025","479.70","485.00","485.00","485.00","0.13K","-5.84%"
"03/05/2025","509.45","509.45","509.45","509.45","","10.45%"
"02/28/2025","461.25","460.15","464.00","460.00","0.10K","-0.49%"
"02/27/2025","463.50","470.00","470.00","460.00","0.01K","-0.20%"
"02/26/2025","464.45","464.70","467.10","455.00","0.06K","-0.30%"
"02/25/2025","465.85","465.25","469.40","461.15","0.19K","-3.16%"
"02/24/2025","481.05","479.00","486.50","477.50","0.12K","-1.40%"
"02/21/2025","487.90","482.95","491.30","478.50","0.27K","-0.43%"
"02/20/2025","490.00","505.75","505.75","482.60","0.49K","-4.07%"
"02/19/2025","510.80","508.80","519.30","504.80","0.21K","1.83%"
"02/18/2025","501.60","508.05","508.05","495.00","0.23K","-0.87%"
"02/17/2025","506.00","513.50","513.50","502.00","0.02K","0.42%"
