Date,Coffee_Price,USD_JPY,Coffee_Return,USD_JPY_Return
2016-04-22,138.8,109.43699645996094,,
2016-04-25,139.35,111.43599700927734,0.00396253602305463,0.018266222703286372
2016-04-26,141.8,111.13600158691406,0.017581628991747422,-0.00269208721072689
2016-04-27,137.65,111.2300033569336,-0.02926657263751764,0.0008458264529700443
2016-04-28,136.4,111.5199966430664,-0.009081002542680738,0.002607149846091783
2016-04-29,136.0,108.07599639892578,-0.0029325513196480912,-0.03088235605999501
2016-05-02,134.25,106.4530029296875,-0.012867647058823484,-0.015017150184279182
2016-05-03,133.5,106.39600372314453,-0.005586592178770999,-0.0005354401000845499
2016-05-04,133.6,106.68000030517578,0.0007490636704119424,0.0026692410625708263
2016-05-05,135.7,106.91999816894531,0.01571856287425155,0.00224969875405856
2016-05-06,138.6,107.2750015258789,0.021370670596905006,0.0033202708848969475
2016-05-09,140.75,107.36000061035156,0.015512265512265477,0.000792347548484118
2016-05-10,142.95,108.33100128173828,0.015630550621669625,0.009044343012914347
2016-05-11,144.2,109.19400024414062,0.008744316194473578,0.007966315756261944
2016-05-12,144.95,108.41500091552734,0.005201109570041718,-0.007134085452236927
2016-05-13,145.5,109.0999984741211,0.0037944118661608073,0.006318291314017177
2016-05-16,150.4,108.66100311279297,0.033676975945017285,-0.004023788886048929
2016-05-17,149.35,109.08000183105469,-0.006981382978723527,0.0038560173959261146
2016-05-18,146.2,108.94999694824219,-0.021091396049548128,-0.0011918305888356517
2016-05-19,139.15,110.13999938964844,-0.04822161422708604,0.010922464201367221
2016-05-20,140.7,109.88099670410156,0.011139058569888505,-0.0023515769655181318
2016-05-23,137.15,110.05000305175781,-0.02523098791755496,0.001538085317075888
2016-05-24,136.35,109.3740005493164,-0.005833029529712097,-0.006142684994960623
2016-05-25,136.0,110.16999816894531,-0.0025669233590025486,0.007277759025281272
2016-05-27,136.0,109.71299743652344,0.0,-0.004148141417966267
2016-05-30,136.9,110.7699966430664,0.006617647058823506,0.009634220477428013
2016-05-31,135.65,110.84100341796875,-0.009130752373995632,0.000641028952371947
2016-06-01,136.1,110.66999816894531,0.003317360855141782,-0.0015427977350457311
2016-06-02,137.55,109.47699737548828,0.01065393093313749,-0.010779803137213717
2016-06-03,143.0,108.86000061035156,0.03962195565248994,-0.005635857576733905
2016-06-06,149.05,106.72100067138672,0.04230769230769238,-0.019649089904207107
2016-06-07,149.7,107.43800354003906,0.004360952700436016,0.0067184796257686585
2016-06-08,159.6,107.25399780273438,0.06613226452905807,-0.0017126689927379202
2016-06-09,152.05,106.77999877929688,-0.04730576441102752,-0.004419406578291762
2016-06-10,156.0,107.08999633789062,0.025978296612956253,0.0029031425560743784
2016-06-13,156.45,106.50399780273438,0.0028846153846153744,-0.005472019378050086
2016-06-14,153.55,106.22599792480469,-0.018536273569830453,-0.002610229509361628
2016-06-15,157.65,106.08699798583984,0.026701400195376035,-0.0013085303191336939
2016-06-16,159.4,105.8499984741211,0.011100539169045298,-0.002234010917628093
2016-06-17,161.05,104.74299621582031,0.01035131744040152,-0.01045821704542993
2016-06-20,159.4,104.64800262451172,-0.010245265445513851,-0.0009069206986676015
2016-06-21,158.05,103.8239974975586,-0.00846925972396484,-0.007874064542920611
2016-06-22,156.0,104.66999816894531,-0.01297057893071818,0.00814841165604907
2016-06-23,159.05,104.6500015258789,0.019551282051282204,-0.0001910446490515083
2016-06-24,152.55,104.89600372314453,-0.04086765168186102,0.0023507137475271556
2016-06-27,152.75,102.12699890136719,0.0013110455588329906,-0.02639761977096544
2016-06-28,158.6,101.81199645996094,0.038297872340425476,-0.0030844188588218246
2016-06-29,163.8,102.70099639892578,0.032786885245901676,0.008731779847912735
2016-06-30,165.45,102.77799987792969,0.010073260073260037,0.000749783173522367
2016-07-01,166.45,103.072998046875,0.006044122091266146,0.0028702462520742156
2016-07-04,166.45,102.48799896240234,0.0,-0.005675580370783528
2016-07-05,165.6,102.51799774169922,-0.005106638630219207,0.00029270528842961774
2016-07-06,162.6,101.14099884033203,-0.018115942028985477,-0.013431777167913772
2016-07-07,160.65,101.1500015258789,-0.011992619926199155,8.90112382723185e-05
2016-07-08,163.7,100.79000091552734,0.018985371926548256,-0.0035590766675318575
2016-07-11,170.55,100.69200134277344,0.0418448381185097,-0.0009723144346038826
2016-07-12,167.9,102.52400207519531,-0.015537965406039356,0.018194103881056245
2016-07-13,168.25,104.75599670410156,0.002084574151280494,0.021770459440992207
2016-07-14,173.65,104.07599639892578,0.032095096582466676,-0.006491278080208995
2016-07-15,167.6,105.19100189208984,-0.034840195796141726,0.010713378028976317
2016-07-18,170.35,105.45899963378906,0.016408114558472464,0.002547724965811682
2016-07-19,166.2,106.14600372314453,-0.02436160845318469,0.006514418795371846
2016-07-20,166.6,106.13700103759766,0.002406738868832692,-8.481417322458995e-05
2016-07-21,166.65,107.2040023803711,0.00030012004801927006,0.010053057202883187
2016-07-22,169.4,105.81099700927734,0.01650165016501659,-0.012993967950480245
2016-07-25,168.2,106.32599639892578,-0.007083825265643551,0.004867163189127499
2016-07-26,168.75,105.5780029296875,0.0032699167657550543,-0.007034906745024716
2016-07-27,170.25,104.8489990234375,0.008888888888888946,-0.006904884407933909
2016-07-28,171.5,104.95099639892578,0.007342143906020615,0.000972802567867026
2016-07-29,173.7,104.74500274658203,0.01282798833819232,-0.001962760330171176
2016-08-01,174.0,102.33200073242188,0.0017271157167531026,-0.023036917761109055
2016-08-02,171.3,102.35900115966797,-0.01551724137931032,0.0002638512591646158
2016-08-03,170.45,101.06800079345703,-0.004962054874489308,-0.012612475225282083
2016-08-04,172.65,101.33699798583984,0.012907010853622891,0.0026615465851802522
2016-08-05,173.5,101.1989974975586,0.004923255140457439,-0.001361797675322185
2016-08-08,171.7,102.1449966430664,-0.01037463976945252,0.00934791024516457
2016-08-09,172.0,102.28800201416016,0.0017472335468842193,0.001400023259029215
2016-08-10,169.0,101.91500091552734,-0.01744186046511631,-0.0036465772259505203
2016-08-11,166.5,101.13300323486328,-0.014792899408283988,-0.00767303805758901
2016-08-12,166.85,101.80799865722656,0.0021021021021021546,0.006674333805708477
2016-08-15,166.5,101.28299713134766,-0.002097692538207907,-0.005156780732391342
2016-08-16,167.55,101.23999786376953,0.006306306306306464,-0.00042454576578498937
2016-08-17,164.8,100.19999694824219,-0.016413011041480186,-0.010272628777874826
2016-08-18,168.35,99.90599822998047,0.021541262135922334,-0.0029341190340912426
2016-08-19,167.3,100.11199951171875,-0.006237006237006182,0.002061951087902303
2016-08-22,173.65,100.55400085449219,0.037955768081290975,0.0044150685724910765
2016-08-23,174.7,100.2509994506836,0.006046645551396335,-0.0030133202183277863
2016-08-24,171.05,100.31099700927734,-0.020892959358900898,0.00059847342093855
2016-08-25,169.85,100.552001953125,-0.007015492546039281,0.00240257749432371
2016-08-26,171.15,100.55500030517578,0.007653812187224052,2.9818919489832396e-05
2016-08-29,170.95,101.91999816894531,-0.0011685655857436306,0.01357463934788794
2016-08-30,172.0,101.80899810791016,0.006142146826557449,-0.0010890901003663966
2016-08-31,172.0,102.86799621582031,0.0,0.010401812488005202
2016-09-01,177.55,103.302001953125,0.03226744186046515,0.004219055034319297
2016-09-02,177.55,103.25800323486328,0.0,-0.00042592319054657324
2016-09-05,177.55,103.93399810791016,0.0,0.006546658388399296
2016-09-06,180.65,103.51000213623047,0.01745987045902564,-0.004079473313818527
2016-09-08,182.3,101.8290023803711,0.00913368391918068,-0.01623997412005651
2016-09-09,177.35,102.30599975585938,-0.027153044432254636,0.004684297835959361
2016-09-12,177.0,102.43800354003906,-0.001973498731322243,0.0012902838982533638
2016-09-13,173.9,101.7509994506836,-0.017514124293785294,-0.006706535324919161
2016-09-14,174.5,102.50399780273438,0.0034502587694076325,0.007400402513154214
2016-09-15,174.25,102.5479965209961,-0.0014326647564469885,0.0004292390463287443
2016-09-16,173.6,102.00800323486328,-0.0037302725968436645,-0.0052657614429576505
2016-09-19,179.4,102.30699920654297,0.03341013824884809,0.002931103072288055
2016-09-20,184.7,101.84600067138672,0.029542920847268617,-0.004506031246460096
2016-09-21,184.35,101.5469970703125,-0.0018949648077963843,-0.002935840377659704
2016-09-22,182.9,100.39299774169922,-0.007865473284513147,-0.011364189605865271
2016-09-23,180.8,100.83100128173828,-0.011481683980317126,0.004362889343796583
2016-09-26,182.05,100.88899993896484,0.00691371681415931,0.0005752065980630938
2016-09-27,182.4,100.35900115966797,0.001922548750343367,-0.005253286082898101
2016-09-28,182.4,100.46800231933594,0.0,0.0010861124404233369
2016-09-29,180.05,100.93499755859375,-0.012883771929824483,0.004648198714785501
2016-09-30,181.4,101.1989974975586,0.007497917245209651,0.002615544116019608
2016-10-03,177.7,101.56300354003906,-0.020396912899669384,0.0035969332847318736
2016-10-04,177.0,101.81700134277344,-0.003939223410241888,0.002500889043068222
2016-10-05,177.8,102.87999725341797,0.004519774011299438,0.010440259452013212
2016-10-06,176.15,103.45999908447266,-0.009280089988751405,0.005637654029344574
2016-10-07,177.2,103.76499938964844,0.005960828839057575,0.002948002202539657
2016-10-10,181.7,103.01799774169922,0.025395033860045046,-0.007198975110520145
2016-10-11,180.6,103.6969985961914,-0.006053935057787507,0.0065910896093581695
2016-10-13,182.2,104.30400085449219,0.008859357696566983,0.005853614535793028
2016-10-14,184.8,103.72200012207031,0.014270032930845389,-0.005579850510564643
2016-10-17,186.9,104.03900146484375,0.011363636363636243,0.0030562594473724225
2016-10-18,188.8,103.85099792480469,0.01016586409844833,-0.0018070486778228867
2016-10-19,188.3,103.86499786376953,-0.0026483050847457834,0.0001348079387255563
2016-10-20,186.85,103.39099884033203,-0.007700477960701058,-0.004563606924242181
2016-10-21,187.0,104.10900115966797,0.0008027829810008935,0.006944534121821944
2016-10-24,189.3,103.91699981689453,0.01229946524064185,-0.0018442338379461853
2016-10-25,197.0,104.32099914550781,0.04067617538298984,0.003887711628753232
2016-10-26,196.3,104.15399932861328,-0.0035532994923856975,-0.0016008264708201603
2016-10-27,197.4,104.56300354003906,0.005603667855323513,0.003926917968222643
2016-10-28,198.3,105.20899963378906,0.004559270516717451,0.006178056022488221
2016-10-31,197.4,104.56500244140625,-0.004538577912254205,-0.0061211226665440766
2016-11-01,194.65,104.81999969482422,-0.013931104356636248,0.002438648184997172
2016-11-03,198.0,103.37799835205078,0.01721037760082189,-0.013756929469297074
2016-11-04,205.2,103.052001953125,0.036363636363636376,-0.0031534408106413947
2016-11-07,210.1,104.19499969482422,0.023879142300194944,0.011091465668169542
2016-11-08,202.05,104.43800354003906,-0.038315088053307855,0.0023322025617982245
2016-11-09,204.5,105.02999877929688,0.012125711457559918,0.005668389084351411
2016-11-10,195.55,105.85299682617188,-0.04376528117359413,0.007835837917168798
2016-11-11,191.65,106.85600280761719,-0.01994374840194324,0.009475461361688309
2016-11-14,193.0,106.87100219726562,0.007044090790503388,0.00014037011730105853
2016-11-16,192.4,109.03800201416016,-0.0031088082901553626,0.02027678015870582
2016-11-17,191.4,108.78500366210938,-0.00519750519750517,-0.0023202768518990613
2016-11-18,190.1,110.25599670410156,-0.006792058516196464,0.01352202042995887
2016-11-21,192.1,110.9729995727539,0.010520778537611797,0.006503073665703685
2016-11-22,189.2,110.6500015258789,-0.015096304008329064,-0.0029106003092512767
2016-11-23,185.45,111.00599670410156,-0.019820295983086655,0.003217308389637852
2016-11-24,185.8,112.58200073242188,0.001887301159342325,0.014197467480259851
2016-11-25,184.05,113.29199981689453,-0.009418729817007532,0.006306506189742933
2016-11-28,182.5,112.6520004272461,-0.008421624558543894,-0.005649113712202336
2016-11-29,177.45,111.69000244140625,-0.02767123287671236,-0.00853955528700201
2016-11-30,174.1,112.47000122070312,-0.018878557340095803,0.00698360428191469
2016-12-01,166.55,114.69400024414062,-0.043365881677196905,0.019774153101263625
2016-12-02,167.3,113.90899658203125,0.004503152206544625,-0.006844330657561848
2016-12-05,166.0,113.50499725341797,-0.0077704722056186615,-0.003546684991842075
2016-12-06,163.0,113.86299896240234,-0.01807228915662651,0.0031540612100546817
2016-12-07,162.95,114.052001953125,-0.00030674846625777796,0.0016599157974495071
